"작업일자","출강량","수입용강량","주편생산량"
20190331,283.4,286.5,283.6
20190331,282.9,273,273
20190331,285.4,264.5,264.5
20190331,294,281.5,281.5
20190331,284.7,311.7,311.7
20190331,285.4,286.3,286.3
20190331,285.1,299.9,299.9
20190331,285.6,287,287
20190331,292.2,183.9,162.7
20190331,286.7,280.5,277.7
20190331,284.8,272,272
20190331,285.1,263.9,263.9
20190331,286.1,262.1,262.1
20190331,303.8,308.7,308.7
20190331,285.8,291.2,291.2
20190331,284.9,267.1,267.1
20190331,285.6,233.8,233.8
20190331,285.2,257.8,257.8
20190331,285.4,285.5,285.5
20190331,285.4,288.2,276.1
20190331,285.3,309.2,305.9
20190331,285.1,224.9,224.9
20190331,284.2,290.3,290.3
20190331,285.4,252.8,252.8
20190331,284.8,297.4,297.4
20190331,285.4,253.2,253.2
20190331,285.5,256.8,256.8
20190331,310.2,277,277
20190401,285.4,273.9,273.9
20190401,285.1,253.7,253.7
20190401,285.4,271.3,271.3
20190401,312.2,280.9,280.9
20190401,285.4,317.5,317.5
20190401,285.9,289,275.8
20190401,285.3,288.7,285.4
20190401,285.1,261.3,261.3
20190401,285.7,254.2,254.2
20190401,286.6,254.2,254.2
20190401,285.8,254.2,254.2
20190401,285.5,254.2,254.2
20190401,284.6,254.3,254.3
20190401,286.2,346.9,333.7
20190401,286.3,278.4,275.6
20190401,285.1,260.6,260.6
20190401,287.2,274.7,274.7
20190401,286.5,280.8,280.8
20190401,286.3,275.2,275.2
20190401,285.2,310,310
20190401,285.3,255.5,255.5
20190401,285.5,254.3,254.3
20190401,285.5,262.1,262.1
20190401,285.2,297.7,297.7
20190401,285.6,268.7,256.7
20190401,305,297.2,293.9
20190401,286.3,287.8,287.8
20190401,285.8,273.6,273.6
20190401,285.1,279.1,279.1
20190401,285.3,273.3,273.3
20190401,284.8,286.6,286.6
20190401,284.9,268.6,268.6
20190401,285.6,296.2,283
20190401,286,305.4,302.6
20190402,285.4,268.2,268.2
20190402,283.7,263.7,263.7
20190402,306.3,271.2,271.2
20190402,285.4,257.1,257.1
20190402,284.6,323.7,323.7
20190402,285.8,272.7,272.7
20190402,285.9,289.3,277.1
20190402,295.8,307.2,303.9
20190402,285,254.2,254.2
20190402,286.9,254.2,254.2
20190402,285.2,286.8,286.8
20190402,286.5,254.2,254.2
20190402,286.5,306.7,306.7
20190402,286,243.8,243.8
20190402,286.7,266.1,250.8
20190402,288,316.8,314
20190402,293.3,228.8,216.7
20190402,285.7,276.8,274
20190402,283.7,280.6,280.6
20190402,297.5,280.3,280.3
20190402,286.4,264.9,264.9
20190402,283.4,271.4,271.4
20190402,294,301.5,301.5
20190402,284.1,250.8,238.7
20190402,284.4,295.2,292.4
20190402,283,253.1,253.1
20190402,285.6,260.8,260.8
20190402,283.4,260.8,260.8
20190402,301.3,260.8,260.8
20190402,291.8,260.8,260.8
20190402,284.3,276.3,276.3
20190402,278.5,333,320.9
20190403,285,281.7,278.4
20190403,285.3,278.4,278.4
20190403,285.3,283,283
20190403,287.2,274.9,274.9
20190403,284.2,291.2,291.2
20190403,285.1,290.4,290.4
20190403,284.8,202.1,188.9
20190403,295.9,312.4,309.1
20190403,284.7,290,290
20190403,285.2,276.9,276.9
20190403,285.2,283,283
20190403,285.4,285.5,285.5
20190403,288.5,216.5,203.3
20190403,284.6,263.8,261.4
20190403,286,273.6,273.6
20190403,285.3,273.8,262.5
20190403,285.3,300.3,297
20190403,284.6,246.9,246.9
20190403,285,246.9,246.9
20190403,284.9,246.9,246.9
20190403,285.1,296.7,296.7
20190403,285.4,292.9,279.7
20190403,283.7,300.1,296.8
20190403,297.1,282.5,282.5
20190403,284.3,281,281
20190404,284.3,274.7,274.7
20190404,283.2,269.6,269.6
20190404,284.1,265.1,265.1
20190404,283.6,262.3,262.3
20190404,297.8,256.1,256.1
20190404,273.2,274.2,261
20190404,285.2,270.9,270.9
20190404,285,276.3,276.3
20190404,284.4,242.6,230.4
20190404,285.7,294,291.2
20190404,284.5,293.6,290.3
20190404,291.2,278.7,278.7
20190404,285.3,282.8,282.8
20190404,285.6,290.8,290.8
20190404,285.8,295.1,295.1
20190404,286.8,145.8,145.8
20190404,287,275.7,262.4
20190404,314.5,308.2,305.4
20190404,286.3,287.8,287.8
20190404,284.6,292.1,292.1
20190404,285.1,279.5,279.5
20190404,285.3,285.9,285.9
20190404,285.7,282.5,282.5
20190404,309.2,279.3,279.3
20190404,285.3,289.1,289.1
20190404,285.4,281.6,281.6
20190404,284.7,289.3,289.3
20190404,284.2,136.3,124.2
20190404,284.9,284.1,281.8
20190404,276,270.8,270.8
20190404,284.5,268.1,268.1
20190404,285,239.2,239.2
20190404,284.6,267.1,267.1
20190405,286.1,281.6,270.6
20190405,299.1,276.2,273.4
20190405,285.2,281,281
20190405,285.7,276.3,276.3
20190405,285,287.9,287.9
20190405,283.6,281.1,281.1
20190405,284.4,266.5,266.5
20190405,284.9,197.8,197.8
20190405,284.8,261.2,261.2
20190405,322.3,280.1,280.1
20190405,286,268.6,268.6
20190405,284.7,268.8,268.8
20190405,285,307.7,295.6
20190405,302.7,292.1,288.8
20190405,286,266.6,266.6
20190405,284.7,217.2,217.2
20190405,284.9,278.2,278.2
20190405,285.6,305.4,305.4
20190405,285.2,264.6,264.6
20190405,286,263.9,263.9
20190405,286.2,260.9,260.9
20190405,285.3,287,287
20190405,285.5,263.8,263.8
20190405,285.2,268.2,268.2
20190405,285.2,320.8,298.4
20190405,285,300.9,297.6
20190405,284.3,247.8,247.8
20190405,266.5,246.9,246.9
20190405,285.4,246.9,246.9
20190405,284.1,296.3,296.3
20190405,289.1,274.3,261.2
20190405,280,280,277.7
20190406,285.5,261.8,261.8
20190406,286.1,273.9,273.9
20190406,286.4,292.2,292.2
20190406,287,238.9,238.9
20190406,286.4,265.3,254.3
20190406,290.9,287.2,284.7
20190406,283.8,291.7,291.7
20190406,287.1,237.6,226
20190406,284.7,310.8,308
20190406,284.7,254.5,254.5
20190406,283.7,275.5,275.5
20190406,288.2,257.7,257.7
20190406,286.1,289.8,289.8
20190406,284.7,270.6,258.5
20190406,284.7,310.3,307.5
20190406,285.4,290.3,290.3
20190406,284.9,260,260
20190406,283.7,277.6,277.6
20190406,284.6,260.8,260.8
20190406,284.2,290.6,290.6
20190406,284.2,282,282
20190406,284.7,263.5,251.3
20190406,285.5,271.8,271.8
20190406,285.1,295.6,295.6
20190406,286.3,265.7,265.7
20190406,285.6,263.1,250.8
20190406,285,279.5,276.7
20190406,285.4,272.4,272.4
20190406,282.6,284.6,284.6
20190406,285.4,302.8,300.5
20190406,286.2,261.1,261.1
